90,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071500189230,2016/07/18 07:34:44,2016/07/19 00:00:00,AUD,1624.46,AUD,1624.46,A,,,,SHA,160719,2016-07-18T07:34:44.000000000-05:00,2016-07-18T12:34:44.000000000+00:00,2016/07/18 12:34:44,WFB,ANZ
91,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071500195590,2016/07/18 07:34:46,2016/07/20 00:00:00,AUD,10000.00,AUD,10000.00,,,,,BEN,160720,2016-07-18T07:34:46.000000000-05:00,2016-07-18T12:34:46.000000000+00:00,2016/07/18 12:34:46,WFB,ANZ
94,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042580,2016/07/18 10:10:43,2016/07/20 00:00:00,AUD,17681.16,USD,13511.94,A,,,,OUR,160720,2016-07-18T10:10:43.000000000-05:00,2016-07-18T15:10:43.000000000+00:00,2016/07/18 15:10:43,WFB,ANZ
95,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042740,2016/07/18 10:11:17,2016/07/20 00:00:00,AUD,95815.34,USD,73212.50,A,,,,OUR,160720,2016-07-18T10:11:17.000000000-05:00,2016-07-18T15:11:17.000000000+00:00,2016/07/18 15:11:17,WFB,ANZ
96,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042740,2016/07/18 10:11:17,2016/07/20 00:00:00,AUD,5507.55,USD,4208.87,A,,,,OUR,160720,2016-07-18T10:11:17.000000000-05:00,2016-07-18T15:11:17.000000000+00:00,2016/07/18 15:11:17,WFB,ANZ
97,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800000420,2016/07/18 10:42:58,2016/07/19 00:00:00,AUD,20000.00,AUD,20000.00,A,,,,SHA,160719,2016-07-18T10:42:58.000000000-05:00,2016-07-18T15:42:58.000000000+00:00,2016/07/18 15:42:58,WFB,ANZ
99,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800067250,2016/07/18 11:56:34,2016/07/20 00:00:00,AUD,5300.00,AUD,5300.00,A,,,,BEN,160720,2016-07-18T11:56:34.000000000-05:00,2016-07-18T16:56:34.000000000+00:00,2016/07/18 16:56:34,WFB,ANZ
101,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800075250,2016/07/18 12:28:06,2016/07/20 00:00:00,AUD,6350.82,AUD,6350.82,A,,,,BEN,160720,2016-07-18T12:28:06.000000000-05:00,2016-07-18T17:28:06.000000000+00:00,2016/07/18 17:28:06,WFB,ANZ
102,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800065890,2016/07/18 12:32:26,2016/07/20 00:00:00,AUD,12701.64,USD,10000.00,A,,,,BEN,160720,2016-07-18T12:32:26.000000000-05:00,2016-07-18T17:32:26.000000000+00:00,2016/07/18 17:32:26,WFB,ANZ
103,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800076760,2016/07/18 12:33:40,2016/07/20 00:00:00,AUD,9881.00,AUD,9881.00,D,,,,BEN,160720,2016-07-18T12:33:40.000000000-05:00,2016-07-18T17:33:40.000000000+00:00,2016/07/18 17:33:40,WFB,ANZ
106,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800078740,2016/07/18 12:49:43,2016/07/20 00:00:00,AUD,639.27,AUD,639.27,D,,,,BEN,160720,2016-07-18T12:49:43.000000000-05:00,2016-07-18T17:49:43.000000000+00:00,2016/07/18 17:49:43,WFB,ANZ
110,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800098000,2016/07/18 13:51:42,2016/07/20 00:00:00,AUD,3341.22,AUD,3341.22,D,,,,SHA,160720,2016-07-18T13:51:42.000000000-05:00,2016-07-18T18:51:42.000000000+00:00,2016/07/18 18:51:42,WFB,ANZ
112,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800107800,2016/07/18 14:24:09,2016/07/20 00:00:00,AUD,10230.18,USD,8000.00,D,,,,OUR,160720,2016-07-18T14:24:09.000000000-05:00,2016-07-18T19:24:09.000000000+00:00,2016/07/18 19:24:09,WFB,ANZ
