2,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU46749013434,2016/07/17 19:34:56,2016/07/18 00:00:00,USD,1750.00,USD,1750.00,A,,,,OUR,160718,2016-07-17T19:34:56.000000000-05:00,2016-07-18T00:34:56.000000000+00:00,2016/07/18 00:34:56,ANZ,WF,REQUEST
3,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU46597473434,2016/07/17 20:25:40,2016/07/18 00:00:00,USD,11820.00,USD,11820.00,A,,,,SHA,160718,2016-07-17T20:25:40.000000000-05:00,2016-07-18T01:25:40.000000000+00:00,2016/07/18 01:25:40,ANZ,WF,REQUEST
4,103,ANZBAU3MXXX,PNBPUS3NNYC,RIAU198996123788,2016/07/17 20:32:03,2016/07/18 00:00:00,USD,200.00,USD,200.00,A,,,,SHA,160718,2016-07-17T20:32:03.000000000-05:00,2016-07-18T01:32:03.000000000+00:00,2016/07/18 01:32:03,ANZ,WF,REQUEST
5,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU46764323434,2016/07/17 20:34:48,2016/07/18 00:00:00,USD,985.00,USD,985.00,A,,,,OUR,160718,2016-07-17T20:34:48.000000000-05:00,2016-07-18T01:34:48.000000000+00:00,2016/07/18 01:34:48,ANZ,WF,REQUEST
6,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU46753413434,2016/07/17 20:37:29,2016/07/18 00:00:00,USD,40135.35,USD,40135.35,A,,,,OUR,160718,2016-07-17T20:37:29.000000000-05:00,2016-07-18T01:37:29.000000000+00:00,2016/07/18 01:37:29,ANZ,WF,REQUEST
71,103,PNBPUS33PHL,ANZBAU3MXXX,F50718557831000,2016/07/18 02:20:37,2016/07/20 00:00:00,USD,360.00,USD,360.00,A,,,,OUR,160720,2016-07-18T02:20:37.000000000-05:00,2016-07-18T07:20:37.000000000+00:00,2016/07/18 07:20:37,WF,ANZ,REQUEST
77,103,PNBPUS33PHL,ANZBAU3MXXX,F60718078030000,2016/07/18 02:56:20,2016/07/18 00:00:00,USD,142080.00,USD,142100.00,,,,,SHA,160718,2016-07-18T02:56:20.000000000-05:00,2016-07-18T07:56:20.000000000+00:00,2016/07/18 07:56:20,WF,ANZ,REQUEST
78,103,PNBPUS33PHL,ANZBAU3MXXX,F60718087798000,2016/07/18 03:21:44,2016/07/18 00:00:00,USD,14680.00,USD,14700.00,,,,,SHA,160718,2016-07-18T03:21:44.000000000-05:00,2016-07-18T08:21:44.000000000+00:00,2016/07/18 08:21:44,WF,ANZ,REQUEST
80,103,PNBPUS33PHL,ANZBAU3MXXX,F60718097702000,2016/07/18 03:50:52,2016/07/18 00:00:00,USD,1193.00,USD,1213.00,,,,,SHA,160718,2016-07-18T03:50:52.000000000-05:00,2016-07-18T08:50:52.000000000+00:00,2016/07/18 08:50:52,WF,ANZ,REQUEST
83,103,PNBPUS33PHL,ANZBAU3MXXX,F60718110911000,2016/07/18 04:46:22,2016/07/18 00:00:00,USD,2633.00,USD,2653.00,,,,,SHA,160718,2016-07-18T04:46:22.000000000-05:00,2016-07-18T09:46:22.000000000+00:00,2016/07/18 09:46:22,WF,ANZ,REQUEST
